svs_filename,slide_path,recognized_text
293726_.svs,Lung_Cancer_N=169/2024-09-20/293726_.svs,
293728_.svs,Lung_Cancer_N=169/2024-09-20/293728_.svs,
293730_.svs,Lung_Cancer_N=169/2024-09-20/293730_.svs,
293732_.svs,Lung_Cancer_N=169/2024-09-20/293732_.svs,
293734_.svs,Lung_Cancer_N=169/2024-09-20/293734_.svs,
293736_.svs,Lung_Cancer_N=169/2024-09-20/293736_.svs,
293738_.svs,Lung_Cancer_N=169/2024-09-20/293738_.svs,
293740_.svs,Lung_Cancer_N=169/2024-09-20/293740_.svs,"7 ? . oui, ~ red |"
293742_.svs,Lung_Cancer_N=169/2024-09-20/293742_.svs,Kgs ote | ~ | 7
293744_.svs,Lung_Cancer_N=169/2024-09-20/293744_.svs,"3 ; | * | | ""a"
293746_.svs,Lung_Cancer_N=169/2024-09-20/293746_.svs,; cr | 4 “ |
293749_.svs,Lung_Cancer_N=169/2024-09-20/293749_.svs,
293750_.svs,Lung_Cancer_N=169/2024-09-20/293750_.svs,* | a e
293752_.svs,Lung_Cancer_N=169/2024-09-20/293752_.svs,| - r | 5
293755_.svs,Lung_Cancer_N=169/2024-09-20/293755_.svs,
293757_.svs,Lung_Cancer_N=169/2024-09-20/293757_.svs,ll | id
293759_.svs,Lung_Cancer_N=169/2024-09-20/293759_.svs,/ | | nf ~ . 7 |
293761_.svs,Lung_Cancer_N=169/2024-09-20/293761_.svs,‘ 7 | pn
293763_.svs,Lung_Cancer_N=169/2024-09-20/293763_.svs,
293765_.svs,Lung_Cancer_N=169/2024-09-20/293765_.svs,
293768_.svs,Lung_Cancer_N=169/2024-09-20/293768_.svs,
293770_.svs,Lung_Cancer_N=169/2024-09-20/293770_.svs,
293772_.svs,Lung_Cancer_N=169/2024-09-20/293772_.svs,| . 4 i i ae ~ oe
293775_.svs,Lung_Cancer_N=169/2024-09-20/293775_.svs,q | . ; / x é 7 : . 4s |
293778_.svs,Lung_Cancer_N=169/2024-09-20/293778_.svs,: * 5 “
293780_.svs,Lung_Cancer_N=169/2024-09-20/293780_.svs,> | a
293781_.svs,Lung_Cancer_N=169/2024-09-20/293781_.svs,_ | _—
293783_.svs,Lung_Cancer_N=169/2024-09-20/293783_.svs,
293785_.svs,Lung_Cancer_N=169/2024-09-20/293785_.svs,
293787_.svs,Lung_Cancer_N=169/2024-09-20/293787_.svs,
293789_.svs,Lung_Cancer_N=169/2024-09-20/293789_.svs,
293791_.svs,Lung_Cancer_N=169/2024-09-20/293791_.svs,5 . | ? |
293793_.svs,Lung_Cancer_N=169/2024-09-20/293793_.svs,
293795_.svs,Lung_Cancer_N=169/2024-09-20/293795_.svs,
293797_.svs,Lung_Cancer_N=169/2024-09-20/293797_.svs,
293799_.svs,Lung_Cancer_N=169/2024-09-20/293799_.svs,. a q 4
293800_.svs,Lung_Cancer_N=169/2024-09-20/293800_.svs,
293802_.svs,Lung_Cancer_N=169/2024-09-20/293802_.svs,i |
293803_.svs,Lung_Cancer_N=169/2024-09-20/293803_.svs,. ~ =
293804_.svs,Lung_Cancer_N=169/2024-09-20/293804_.svs,re | | . _
293806_.svs,Lung_Cancer_N=169/2024-09-20/293806_.svs,
293809_.svs,Lung_Cancer_N=169/2024-09-20/293809_.svs,| — | | -
293811_.svs,Lung_Cancer_N=169/2024-09-20/293811_.svs,7 a 7 F :
293813_.svs,Lung_Cancer_N=169/2024-09-20/293813_.svs,as { ;
293816_.svs,Lung_Cancer_N=169/2024-09-20/293816_.svs,
293817_.svs,Lung_Cancer_N=169/2024-09-20/293817_.svs,« iat | .
293819_.svs,Lung_Cancer_N=169/2024-09-20/293819_.svs,
293821_.svs,Lung_Cancer_N=169/2024-09-20/293821_.svs,
293823_.svs,Lung_Cancer_N=169/2024-09-20/293823_.svs,
293826_.svs,Lung_Cancer_N=169/2024-09-20/293826_.svs,
293829_.svs,Lung_Cancer_N=169/2024-09-20/293829_.svs,ms : os Lae Big . | Poe )
293831_.svs,Lung_Cancer_N=169/2024-09-20/293831_.svs,"es. , ; - arr Sanaa"
293833_.svs,Lung_Cancer_N=169/2024-09-20/293833_.svs,
293836_.svs,Lung_Cancer_N=169/2024-09-20/293836_.svs,
293840_.svs,Lung_Cancer_N=169/2024-09-20/293840_.svs,
293843_.svs,Lung_Cancer_N=169/2024-09-20/293843_.svs,
293845_.svs,Lung_Cancer_N=169/2024-09-20/293845_.svs,
293849_.svs,Lung_Cancer_N=169/2024-09-20/293849_.svs,
293852_.svs,Lung_Cancer_N=169/2024-09-20/293852_.svs,
293854_.svs,Lung_Cancer_N=169/2024-09-20/293854_.svs,
293857_.svs,Lung_Cancer_N=169/2024-09-20/293857_.svs,
293860_.svs,Lung_Cancer_N=169/2024-09-20/293860_.svs,
293863_.svs,Lung_Cancer_N=169/2024-09-20/293863_.svs,
293865_.svs,Lung_Cancer_N=169/2024-09-20/293865_.svs,' ' v - : = .
293867_.svs,Lung_Cancer_N=169/2024-09-20/293867_.svs,
293870_.svs,Lung_Cancer_N=169/2024-09-20/293870_.svs,7 . . es cil a
293872_.svs,Lung_Cancer_N=169/2024-09-20/293872_.svs,": / | | ,"
293876_.svs,Lung_Cancer_N=169/2024-09-20/293876_.svs,
293878_.svs,Lung_Cancer_N=169/2024-09-20/293878_.svs,"i, » —"
293881_.svs,Lung_Cancer_N=169/2024-09-20/293881_.svs,A | *
293884_.svs,Lung_Cancer_N=169/2024-09-20/293884_.svs,
293887_.svs,Lung_Cancer_N=169/2024-09-20/293887_.svs,Z. > | | a
293889_.svs,Lung_Cancer_N=169/2024-09-20/293889_.svs,
293892_.svs,Lung_Cancer_N=169/2024-09-20/293892_.svs,
293894_.svs,Lung_Cancer_N=169/2024-09-20/293894_.svs,
293897_.svs,Lung_Cancer_N=169/2024-09-20/293897_.svs,
293900_.svs,Lung_Cancer_N=169/2024-09-20/293900_.svs,| ? ame * r | “
293903_.svs,Lung_Cancer_N=169/2024-09-20/293903_.svs,
293906_.svs,Lung_Cancer_N=169/2024-09-20/293906_.svs,
293909_.svs,Lung_Cancer_N=169/2024-09-20/293909_.svs,
293912_.svs,Lung_Cancer_N=169/2024-09-20/293912_.svs,| ae | a -
293914_.svs,Lung_Cancer_N=169/2024-09-20/293914_.svs,s a | | | —
293917_.svs,Lung_Cancer_N=169/2024-09-20/293917_.svs,
293919_.svs,Lung_Cancer_N=169/2024-09-20/293919_.svs,
293922_.svs,Lung_Cancer_N=169/2024-09-20/293922_.svs,| ; ne
293925_.svs,Lung_Cancer_N=169/2024-09-20/293925_.svs,3 ” ~ “ = >
293927_.svs,Lung_Cancer_N=169/2024-09-20/293927_.svs,
293929_.svs,Lung_Cancer_N=169/2024-09-20/293929_.svs,q : : ee | 2
293932_.svs,Lung_Cancer_N=169/2024-09-20/293932_.svs,
293934_.svs,Lung_Cancer_N=169/2024-09-20/293934_.svs,
293937_.svs,Lung_Cancer_N=169/2024-09-20/293937_.svs,"' 7 ' pone "" : F oe"
293939_.svs,Lung_Cancer_N=169/2024-09-20/293939_.svs,| a pe -
293941_.svs,Lung_Cancer_N=169/2024-09-20/293941_.svs,a . *y a ee -.
293943_.svs,Lung_Cancer_N=169/2024-09-20/293943_.svs,| -
293945_.svs,Lung_Cancer_N=169/2024-09-20/293945_.svs,ae
293947_.svs,Lung_Cancer_N=169/2024-09-20/293947_.svs,a.
293950_.svs,Lung_Cancer_N=169/2024-09-20/293950_.svs,
293952_.svs,Lung_Cancer_N=169/2024-09-20/293952_.svs,
293955_.svs,Lung_Cancer_N=169/2024-09-20/293955_.svs,re 4 | s
293957_.svs,Lung_Cancer_N=169/2024-09-20/293957_.svs,
293959_.svs,Lung_Cancer_N=169/2024-09-20/293959_.svs,
293961_.svs,Lung_Cancer_N=169/2024-09-20/293961_.svs,
293964_.svs,Lung_Cancer_N=169/2024-09-20/293964_.svs,
293967_.svs,Lung_Cancer_N=169/2024-09-20/293967_.svs,
293969_.svs,Lung_Cancer_N=169/2024-09-20/293969_.svs,
293970_.svs,Lung_Cancer_N=169/2024-09-20/293970_.svs,
293972_.svs,Lung_Cancer_N=169/2024-09-20/293972_.svs,
293973_.svs,Lung_Cancer_N=169/2024-09-20/293973_.svs,[
293975_.svs,Lung_Cancer_N=169/2024-09-20/293975_.svs,
293976_.svs,Lung_Cancer_N=169/2024-09-20/293976_.svs,
293978_.svs,Lung_Cancer_N=169/2024-09-20/293978_.svs,
293980_.svs,Lung_Cancer_N=169/2024-09-20/293980_.svs,
293982_.svs,Lung_Cancer_N=169/2024-09-20/293982_.svs,
293984_.svs,Lung_Cancer_N=169/2024-09-20/293984_.svs,
293986_.svs,Lung_Cancer_N=169/2024-09-20/293986_.svs,
293987_.svs,Lung_Cancer_N=169/2024-09-20/293987_.svs,a | . ) im ” ”
293989_.svs,Lung_Cancer_N=169/2024-09-20/293989_.svs,
293991_.svs,Lung_Cancer_N=169/2024-09-20/293991_.svs,
293993_.svs,Lung_Cancer_N=169/2024-09-20/293993_.svs,” | —aae o oe
293995_.svs,Lung_Cancer_N=169/2024-09-20/293995_.svs,|
293997_.svs,Lung_Cancer_N=169/2024-09-20/293997_.svs,"I | aos | | , ‘ -"
293999_.svs,Lung_Cancer_N=169/2024-09-20/293999_.svs,
294001_.svs,Lung_Cancer_N=169/2024-09-20/294001_.svs,
294002_.svs,Lung_Cancer_N=169/2024-09-20/294002_.svs,- : ne 7 =
294004_.svs,Lung_Cancer_N=169/2024-09-20/294004_.svs,
294006_.svs,Lung_Cancer_N=169/2024-09-20/294006_.svs,
294007_.svs,Lung_Cancer_N=169/2024-09-20/294007_.svs,
294009_.svs,Lung_Cancer_N=169/2024-09-20/294009_.svs,"| : , - , a"
294011_.svs,Lung_Cancer_N=169/2024-09-20/294011_.svs,
294012_.svs,Lung_Cancer_N=169/2024-09-20/294012_.svs,: | . | tee “
294014_.svs,Lung_Cancer_N=169/2024-09-20/294014_.svs,
294016_.svs,Lung_Cancer_N=169/2024-09-20/294016_.svs,3 | : | |
294018_.svs,Lung_Cancer_N=169/2024-09-20/294018_.svs,
